Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report,Season,CrdY,CrdR,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Poss,Team,Result_Num,Opponent_Num,Venue_Num,Team_Num
2022-10-29,21:00,Final,Sat,Neutral,W,2.0,0.0,Current,1.0,18.0,6.0,33.3,0.06,0.17,16.8,1.0,0.0,0.0,1.5,1.5,0.08,-0.5,-0.5,Match Report,2022,0.0,0.0,8.0,9.0,3.0,15.0,10.0,20.0,0.0,0.0,0.0,83.0,53.0,Portland Thorns,1,3,2,0
2023-03-26,14:00,Regular Season,Sun,Home,W,4.0,0.0,Pride,4.0,27.0,16.0,59.3,0.15,0.25,15.5,0.0,0.0,0.0,3.7,3.7,0.14,0.3,0.3,Match Report,2023,0.0,0.0,9.0,9.0,1.0,24.0,10.0,11.0,0.0,0.0,0.0,80.0,48.0,Portland Thorns,1,8,1,0
2023-04-01,11:50,Regular Season,Sat,Away,W,4.0,1.0,Current,4.0,18.0,7.0,38.9,0.17,0.43,17.7,0.0,1.0,1.0,2.2,1.4,0.08,1.8,1.6,Match Report,2023,2.0,0.0,10.0,11.0,4.0,17.0,14.0,12.0,1.0,0.0,0.0,83.0,57.0,Portland Thorns,1,3,0,0
2023-04-14,19:30,Regular Season,Fri,Home,D,1.0,1.0,Dash,1.0,22.0,5.0,22.7,0.05,0.2,13.6,0.0,0.0,0.0,2.7,2.7,0.13,-1.7,-1.7,Match Report,2023,0.0,0.0,5.0,11.0,1.0,14.0,16.0,16.0,0.0,0.0,0.0,66.0,54.0,Portland Thorns,0,4,1,0
2023-04-22,19:30,Regular Season,Sat,Home,W,2.0,0.0,Louisville,2.0,20.0,6.0,30.0,0.1,0.33,18.1,0.0,0.0,0.0,1.4,1.4,0.07,0.6,0.6,Match Report,2023,2.0,0.0,9.0,7.0,0.0,14.0,12.0,13.0,0.0,0.0,0.0,80.0,49.0,Portland Thorns,1,7,1,0
2023-04-29,19:30,Regular Season,Sat,Home,D,3.0,3.0,Angel City,3.0,13.0,5.0,38.5,0.15,0.4,14.1,0.0,1.0,1.0,2.2,1.4,0.11,0.8,0.6,Match Report,2023,1.0,0.0,6.0,10.0,1.0,15.0,6.0,10.0,1.0,0.0,1.0,63.0,54.0,Portland Thorns,0,0,1,0
2023-05-06,19:00,Regular Season,Sat,Away,D,3.0,3.0,Courage,3.0,19.0,10.0,52.6,0.16,0.3,19.1,1.0,0.0,0.0,1.9,1.9,0.1,1.1,1.1,Match Report,2023,2.0,0.0,6.0,8.0,0.0,23.0,10.0,14.0,0.0,0.0,1.0,74.0,51.0,Portland Thorns,0,2,0,0
2023-05-12,19:30,Regular Season,Fri,Away,L,1.0,2.0,Dash,1.0,12.0,4.0,33.3,0.08,0.25,15.5,0.0,0.0,0.0,1.3,1.3,0.11,-0.3,-0.3,Match Report,2023,1.0,0.0,5.0,4.0,4.0,16.0,8.0,18.0,0.0,0.0,0.0,71.0,57.0,Portland Thorns,-1,4,0,0
2023-05-21,14:00,Regular Season,Sun,Home,W,4.0,0.0,Red Stars,4.0,22.0,12.0,54.5,0.18,0.33,16.5,0.0,0.0,0.0,2.8,2.8,0.13,1.2,1.2,Match Report,2023,1.0,0.0,11.0,7.0,4.0,22.0,8.0,15.0,0.0,0.0,0.0,66.0,50.0,Portland Thorns,1,9,1,0
2023-05-26,19:00,Regular Season,Fri,Away,D,1.0,1.0,Wave,1.0,28.0,8.0,28.6,0.04,0.13,17.0,0.0,0.0,0.0,2.1,2.1,0.07,-1.1,-1.1,Match Report,2023,1.0,0.0,4.0,9.0,1.0,31.0,10.0,6.0,0.0,0.0,0.0,75.0,57.0,Portland Thorns,0,13,0,0
2023-06-03,17:00,Regular Season,Sat,Away,W,2.0,0.0,Reign,2.0,19.0,6.0,31.6,0.11,0.33,19.0,0.0,0.0,0.0,2.0,2.0,0.1,0.0,0.0,Match Report,2023,0.0,0.0,5.0,10.0,2.0,11.0,6.0,11.0,0.0,0.0,0.0,71.0,54.0,Portland Thorns,1,10,0,0
2023-06-11,19:00,Regular Season,Sun,Away,L,1.0,3.0,Pride,1.0,19.0,7.0,36.8,0.05,0.14,17.1,0.0,0.0,0.0,1.8,1.8,0.09,-0.8,-0.8,Match Report,2023,2.0,0.0,8.0,6.0,1.0,12.0,7.0,10.0,0.0,0.0,0.0,66.0,58.0,Portland Thorns,-1,8,0,0
2023-06-18,17:00,Regular Season,Sun,Away,W,3.0,2.0,Red Stars,3.0,21.0,7.0,33.3,0.14,0.43,18.3,0.0,0.0,0.0,2.3,2.3,0.11,0.7,0.7,Match Report,2023,3.0,0.0,9.0,6.0,1.0,17.0,8.0,16.0,0.0,1.0,0.0,54.0,56.0,Portland Thorns,1,9,0,0
2023-06-23,19:30,Regular Season,Fri,Home,W,4.0,2.0,Spirit,4.0,18.0,7.0,38.9,0.22,0.57,22.0,0.0,0.0,0.0,1.4,1.4,0.08,2.6,2.6,Match Report,2023,0.0,0.0,3.0,8.0,1.0,11.0,10.0,16.0,0.0,0.0,0.0,59.0,45.0,Portland Thorns,1,12,1,0
2023-07-01,19:00,Regular Season,Sat,Home,L,0.0,1.0,Current,0.0,25.0,8.0,32.0,0.0,0.0,17.5,0.0,0.0,0.0,1.3,1.3,0.05,-1.3,-1.3,Match Report,2023,1.0,0.0,12.0,5.0,4.0,32.0,9.0,14.0,0.0,1.0,0.0,69.0,59.0,Portland Thorns,-1,3,1,0
2023-07-09,17:30,Regular Season,Sun,Away,L,1.0,2.0,Gotham FC,1.0,12.0,5.0,41.7,0.08,0.2,18.4,0.0,0.0,0.0,1.7,1.7,0.14,-0.7,-0.7,Match Report,2023,1.0,0.0,7.0,8.0,3.0,17.0,4.0,18.0,0.0,0.0,0.0,71.0,49.0,Portland Thorns,-1,5,0,0
2023-08-20,19:30,Regular Season,Sun,Home,W,2.0,1.0,Courage,2.0,10.0,5.0,50.0,0.2,0.4,16.6,0.0,0.0,0.0,1.8,1.8,0.18,0.2,0.2,Match Report,2023,0.0,1.0,8.0,10.0,1.0,3.0,18.0,20.0,0.0,0.0,0.0,61.0,37.0,Portland Thorns,1,2,1,0
2023-08-27,17:00,Regular Season,Sun,Away,D,1.0,1.0,Spirit,1.0,9.0,3.0,33.3,0.11,0.33,18.6,0.0,0.0,0.0,1.2,1.2,0.13,-0.2,-0.2,Match Report,2023,1.0,0.0,9.0,6.0,1.0,13.0,5.0,13.0,0.0,1.0,0.0,63.0,47.0,Portland Thorns,0,12,0,0
2023-09-02,19:30,Regular Season,Sat,Away,L,1.0,2.0,Louisville,1.0,15.0,5.0,33.3,0.07,0.2,19.7,0.0,0.0,0.0,1.1,1.1,0.08,-0.1,-0.1,Match Report,2023,1.0,0.0,6.0,4.0,3.0,8.0,10.0,8.0,0.0,0.0,0.0,58.0,53.0,Portland Thorns,-1,7,0,0
2023-09-16,19:30,Regular Season,Sat,Home,W,2.0,0.0,Reign,2.0,14.0,8.0,57.1,0.14,0.25,15.6,0.0,0.0,0.0,2.1,2.1,0.15,-0.1,-0.1,Match Report,2023,1.0,0.0,5.0,5.0,1.0,10.0,6.0,10.0,0.0,0.0,0.0,72.0,48.0,Portland Thorns,1,10,1,0
2023-09-30,19:30,Regular Season,Sat,Home,L,0.0,2.0,Wave,0.0,15.0,5.0,33.3,0.0,0.0,16.0,0.0,0.0,0.0,1.0,1.0,0.07,-1.0,-1.0,Match Report,2023,0.0,0.0,8.0,12.0,0.0,22.0,12.0,13.0,0.0,0.0,0.0,63.0,51.0,Portland Thorns,-1,13,1,0
2023-10-07,14:00,Regular Season,Sat,Home,W,1.0,0.0,Gotham FC,1.0,9.0,3.0,33.3,0.11,0.33,17.8,0.0,0.0,0.0,0.7,0.7,0.08,0.3,0.3,Match Report,2023,0.0,0.0,6.0,13.0,4.0,19.0,11.0,11.0,0.0,0.0,0.0,61.0,45.0,Portland Thorns,1,5,1,0
2023-10-15,14:00,Regular Season,Sun,Away,L,1.0,5.0,Angel City,1.0,8.0,6.0,75.0,0.13,0.17,18.8,0.0,0.0,0.0,0.6,0.6,0.08,0.4,0.4,Match Report,2023,0.0,0.0,10.0,7.0,1.0,14.0,11.0,13.0,0.0,0.0,0.0,54.0,55.0,Portland Thorns,-1,0,0,0
2023-11-05,16:00,Semifinals,Sun,Home,L,0.0,1.0,Gotham FC,0.0,11.0,3.0,27.3,0.0,0.0,19.1,0.0,0.0,0.0,0.6,0.6,0.05,-0.6,-0.6,Match Report,2023,1.0,0.0,18.0,20.0,6.0,23.0,14.0,21.0,0.0,0.0,0.0,90.0,46.0,Portland Thorns,-1,5,1,0
2024-03-16,12:00,Regular Season,Sat,Away,L,4.0,5.0,Current,4.0,19.0,8.0,42.1,0.21,0.5,17.5,0.0,0.0,0.0,1.4,1.4,0.07,2.6,2.6,Match Report,2024,2.0,0.0,10.0,7.0,1.0,16.0,10.0,13.0,0.0,0.0,0.0,62.0,53.0,Portland Thorns,-1,3,0,0
2024-03-24,16:00,Regular Season,Sun,Home,L,0.0,1.0,Gotham FC,0.0,15.0,6.0,40.0,0.0,0.0,14.3,0.0,0.0,0.0,1.2,1.2,0.08,-1.2,-1.2,Match Report,2024,1.0,0.0,16.0,15.0,5.0,25.0,10.0,12.0,0.0,0.0,0.0,47.0,51.0,Portland Thorns,-1,5,1,0
2024-03-30,16:30,Regular Season,Sat,Home,D,2.0,2.0,Louisville,2.0,29.0,8.0,27.6,0.07,0.25,21.2,0.0,0.0,0.0,2.0,2.0,0.07,0.0,0.0,Match Report,2024,1.0,0.0,13.0,9.0,1.0,25.0,18.0,12.0,0.0,0.0,0.0,73.0,61.0,Portland Thorns,0,7,1,0
2024-04-13,19:00,Regular Season,Sat,Away,L,0.0,2.0,Courage,0.0,14.0,4.0,28.6,0.0,0.0,17.1,0.0,0.0,0.0,1.1,1.1,0.08,-1.1,-1.1,Match Report,2024,2.0,0.0,11.0,8.0,0.0,14.0,16.0,17.0,0.0,0.0,0.0,46.0,45.0,Portland Thorns,-1,2,0,0
2024-04-20,19:00,Regular Season,Sat,Home,W,4.0,1.0,Dash,4.0,15.0,9.0,60.0,0.27,0.44,15.1,0.0,0.0,0.0,3.6,3.6,0.24,0.4,0.4,Match Report,2024,1.0,0.0,12.0,10.0,2.0,12.0,8.0,18.0,0.0,0.0,0.0,62.0,57.0,Portland Thorns,1,4,1,0
